site_id,facility,indicator,sex,age_group,Date_Submitted,tx_curr
10,Area 25 Urban Health Centre,TX_CURR,Unknown,10-14 years,2025-08-26 01:24:06.367788+00:00,1
10,Area 25 Urban Health Centre,TX_CURR,Female,30-34 years,2025-08-26 01:24:06.367788+00:00,723
10,Area 25 Urban Health Centre,TX_CURR,Male,All,2025-08-26 01:24:06.367788+00:00,2493
10,Area 25 Urban Health Centre,TX_CURR,Female,15-19 years,2025-08-26 01:24:06.367788+00:00,111
10,Area 25 Urban Health Centre,TX_CURR,Male,70-74 years,2025-08-26 01:24:06.367788+00:00,20
10,Area 25 Urban Health Centre,TX_CURR,Female,65-69 years,2025-08-26 01:24:06.367788+00:00,37
10,Area 25 Urban Health Centre,TX_CURR,Male,30-34 years,2025-08-26 01:24:06.367788+00:00,230
10,Area 25 Urban Health Centre,TX_CURR,Female,55-59 years,2025-08-26 01:24:06.367788+00:00,134
10,Area 25 Urban Health Centre,TX_CURR,Female,35-39 years,2025-08-26 01:24:06.367788+00:00,811
10,Area 25 Urban Health Centre,TX_CURR,Male,75-79 years,2025-08-26 01:24:06.367788+00:00,6
10,Area 25 Urban Health Centre,TX_CURR,Male,<1 years,2025-08-26 01:24:06.367788+00:00,3
10,Area 25 Urban Health Centre,TX_CURR,Male,85-89 years,2025-08-26 01:24:06.367788+00:00,1
10,Area 25 Urban Health Centre,TX_CURR,Female,70-74 years,2025-08-26 01:24:06.367788+00:00,19
10,Area 25 Urban Health Centre,TX_CURR,Male,50-54 years,2025-08-26 01:24:06.367788+00:00,293
10,Area 25 Urban Health Centre,TX_CURR,Female,1-4 years,2025-08-26 01:24:06.367788+00:00,19
10,Area 25 Urban Health Centre,TX_CURR,Female,50-54 years,2025-08-26 01:24:06.367788+00:00,244
10,Area 25 Urban Health Centre,TX_CURR,Male,55-59 years,2025-08-26 01:24:06.367788+00:00,152
10,Area 25 Urban Health Centre,TX_CURR,Female,10-14 years,2025-08-26 01:24:06.367788+00:00,56
10,Area 25 Urban Health Centre,TX_CURR,FNP,All,2025-08-26 01:24:06.367788+00:00,3875
10,Area 25 Urban Health Centre,TX_CURR,Female,80-84 years,2025-08-26 01:24:06.367788+00:00,2
10,Area 25 Urban Health Centre,TX_CURR,Male,15-19 years,2025-08-26 01:24:06.367788+00:00,73
10,Area 25 Urban Health Centre,TX_CURR,Male,5-9 years,2025-08-26 01:24:06.367788+00:00,28
10,Area 25 Urban Health Centre,TX_CURR,Female,5-9 years,2025-08-26 01:24:06.367788+00:00,24
10,Area 25 Urban Health Centre,TX_CURR,Male,25-29 years,2025-08-26 01:24:06.367788+00:00,127
10,Area 25 Urban Health Centre,TX_CURR,FP,All,2025-08-26 01:24:06.367788+00:00,187
10,Area 25 Urban Health Centre,TX_CURR,Male,45-49 years,2025-08-26 01:24:06.367788+00:00,435
10,Area 25 Urban Health Centre,TX_CURR,Male,10-14 years,2025-08-26 01:24:06.367788+00:00,47
10,Area 25 Urban Health Centre,TX_CURR,Male,65-69 years,2025-08-26 01:24:06.367788+00:00,53
10,Area 25 Urban Health Centre,TX_CURR,Female,<1 years,2025-08-26 01:24:06.367788+00:00,2
site_id,facility,indicator,sex,age_group,Date_Submitted,tx_curr
115,Chitekesa Health Centre,TX_CURR,Female,90 plus years,2025-08-26 01:24:06.373216+00:00,1
115,Chitekesa Health Centre,TX_CURR,Male,70-74 years,2025-08-26 01:24:06.373216+00:00,21
115,Chitekesa Health Centre,TX_CURR,FNP,All,2025-08-26 01:24:06.373216+00:00,1635
115,Chitekesa Health Centre,TX_CURR,Male,40-44 years,2025-08-26 01:24:06.373216+00:00,148
115,Chitekesa Health Centre,TX_CURR,Male,10-14 years,2025-08-26 01:24:06.373216+00:00,31
115,Chitekesa Health Centre,TX_CURR,Male,1-4 years,2025-08-26 01:24:06.373216+00:00,5
115,Chitekesa Health Centre,TX_CURR,Female,75-79 years,2025-08-26 01:24:06.373216+00:00,11
115,Chitekesa Health Centre,TX_CURR,Female,45-49 years,2025-08-26 01:24:06.373216+00:00,258
115,Chitekesa Health Centre,TX_CURR,Female,40-44 years,2025-08-26 01:24:06.373216+00:00,315
115,Chitekesa Health Centre,TX_CURR,Female,25-29 years,2025-08-26 01:24:06.373216+00:00,127
115,Chitekesa Health Centre,TX_CURR,Male,75-79 years,2025-08-26 01:24:06.373216+00:00,9
115,Chitekesa Health Centre,TX_CURR,Male,25-29 years,2025-08-26 01:24:06.373216+00:00,35
115,Chitekesa Health Centre,TX_CURR,Female,5-9 years,2025-08-26 01:24:06.373216+00:00,10
115,Chitekesa Health Centre,TX_CURR,Male,60-64 years,2025-08-26 01:24:06.373216+00:00,43
115,Chitekesa Health Centre,TX_CURR,Female,60-64 years,2025-08-26 01:24:06.373216+00:00,59
115,Chitekesa Health Centre,TX_CURR,FP,All,2025-08-26 01:24:06.373216+00:00,77
115,Chitekesa Health Centre,TX_CURR,FBF,All,2025-08-26 01:24:06.373216+00:00,89
115,Chitekesa Health Centre,TX_CURR,Male,20-24 years,2025-08-26 01:24:06.373216+00:00,25
115,Chitekesa Health Centre,TX_CURR,Male,50-54 years,2025-08-26 01:24:06.373216+00:00,123
115,Chitekesa Health Centre,TX_CURR,Male,45-49 years,2025-08-26 01:24:06.373216+00:00,178
115,Chitekesa Health Centre,TX_CURR,Male,15-19 years,2025-08-26 01:24:06.373216+00:00,49
115,Chitekesa Health Centre,TX_CURR,Female,50-54 years,2025-08-26 01:24:06.373216+00:00,161
115,Chitekesa Health Centre,TX_CURR,Female,1-4 years,2025-08-26 01:24:06.373216+00:00,4
115,Chitekesa Health Centre,TX_CURR,Female,35-39 years,2025-08-26 01:24:06.373216+00:00,316
115,Chitekesa Health Centre,TX_CURR,Female,55-59 years,2025-08-26 01:24:06.373216+00:00,99
115,Chitekesa Health Centre,TX_CURR,Female,30-34 years,2025-08-26 01:24:06.373216+00:00,204
115,Chitekesa Health Centre,TX_CURR,Female,15-19 years,2025-08-26 01:24:06.373216+00:00,55
115,Chitekesa Health Centre,TX_CURR,Male,65-69 years,2025-08-26 01:24:06.373216+00:00,24
115,Chitekesa Health Centre,TX_CURR,Male,5-9 years,2025-08-26 01:24:06.373216+00:00,13
115,Chitekesa Health Centre,TX_CURR,Female,65-69 years,2025-08-26 01:24:06.373216+00:00,37
115,Chitekesa Health Centre,TX_CURR,Female,10-14 years,2025-08-26 01:24:06.373216+00:00,35
115,Chitekesa Health Centre,TX_CURR,Male,80-84 years,2025-08-26 01:24:06.373216+00:00,4
115,Chitekesa Health Centre,TX_CURR,Male,35-39 years,2025-08-26 01:24:06.373216+00:00,107
115,Chitekesa Health Centre,TX_CURR,Male,55-59 years,2025-08-26 01:24:06.373216+00:00,54
115,Chitekesa Health Centre,TX_CURR,Male,30-34 years,2025-08-26 01:24:06.373216+00:00,49
115,Chitekesa Health Centre,TX_CURR,Female,20-24 years,2025-08-26 01:24:06.373216+00:00,88
115,Chitekesa Health Centre,TX_CURR,Female,80-84 years,2025-08-26 01:24:06.373216+00:00,2
115,Chitekesa Health Centre,TX_CURR,Female,70-74 years,2025-08-26 01:24:06.373216+00:00,19
115,Chitekesa Health Centre,TX_CURR,Male,All,2025-08-26 01:24:06.373216+00:00,918
site_id,facility,indicator,sex,age_group,Date_Submitted,tx_curr
138,Dedza District Hospital,TX_CURR,Male,25-29 years,2025-08-26 01:24:06.373989+00:00,113
138,Dedza District Hospital,TX_CURR,Male,85-89 years,2025-08-26 01:24:06.373989+00:00,3
138,Dedza District Hospital,TX_CURR,Male,50-54 years,2025-08-26 01:24:06.373989+00:00,272
138,Dedza District Hospital,TX_CURR,Female,80-84 years,2025-08-26 01:24:06.373989+00:00,5
138,Dedza District Hospital,TX_CURR,Female,45-49 years,2025-08-26 01:24:06.373989+00:00,465
138,Dedza District Hospital,TX_CURR,Female,40-44 years,2025-08-26 01:24:06.373989+00:00,636
138,Dedza District Hospital,TX_CURR,Male,35-39 years,2025-08-26 01:24:06.373989+00:00,260
138,Dedza District Hospital,TX_CURR,Male,90 plus years,2025-08-26 01:24:06.373989+00:00,1
138,Dedza District Hospital,TX_CURR,Male,10-14 years,2025-08-26 01:24:06.373989+00:00,50
138,Dedza District Hospital,TX_CURR,Female,5-9 years,2025-08-26 01:24:06.373989+00:00,23
138,Dedza District Hospital,TX_CURR,Male,All,2025-08-26 01:24:06.373989+00:00,2089
138,Dedza District Hospital,TX_CURR,Male,60-64 years,2025-08-26 01:24:06.373989+00:00,122
138,Dedza District Hospital,TX_CURR,Male,55-59 years,2025-08-26 01:24:06.373989+00:00,170
138,Dedza District Hospital,TX_CURR,Female,25-29 years,2025-08-26 01:24:06.373989+00:00,341
138,Dedza District Hospital,TX_CURR,FBF,All,2025-08-26 01:24:06.373989+00:00,321
138,Dedza District Hospital,TX_CURR,Male,20-24 years,2025-08-26 01:24:06.373989+00:00,80
138,Dedza District Hospital,TX_CURR,Unknown,40-44 years,2025-08-26 01:24:06.373989+00:00,1
138,Dedza District Hospital,TX_CURR,Male,1-4 years,2025-08-26 01:24:06.373989+00:00,15
138,Dedza District Hospital,TX_CURR,FP,All,2025-08-26 01:24:06.373989+00:00,106
138,Dedza District Hospital,TX_CURR,Male,40-44 years,2025-08-26 01:24:06.373989+00:00,307
138,Dedza District Hospital,TX_CURR,Male,15-19 years,2025-08-26 01:24:06.373989+00:00,65
138,Dedza District Hospital,TX_CURR,Female,10-14 years,2025-08-26 01:24:06.373989+00:00,52
138,Dedza District Hospital,TX_CURR,Female,50-54 years,2025-08-26 01:24:06.373989+00:00,321
138,Dedza District Hospital,TX_CURR,FNP,All,2025-08-26 01:24:06.373989+00:00,3118
138,Dedza District Hospital,TX_CURR,Female,15-19 years,2025-08-26 01:24:06.373989+00:00,78
138,Dedza District Hospital,TX_CURR,Male,5-9 years,2025-08-26 01:24:06.373989+00:00,19
138,Dedza District Hospital,TX_CURR,Female,55-59 years,2025-08-26 01:24:06.373989+00:00,199
138,Dedza District Hospital,TX_CURR,Female,30-34 years,2025-08-26 01:24:06.373989+00:00,510
138,Dedza District Hospital,TX_CURR,Female,65-69 years,2025-08-26 01:24:06.373989+00:00,53
138,Dedza District Hospital,TX_CURR,Male,75-79 years,2025-08-26 01:24:06.373989+00:00,16
138,Dedza District Hospital,TX_CURR,Female,75-79 years,2025-08-26 01:24:06.373989+00:00,13
138,Dedza District Hospital,TX_CURR,Female,60-64 years,2025-08-26 01:24:06.373989+00:00,105
138,Dedza District Hospital,TX_CURR,Female,1-4 years,2025-08-26 01:24:06.373989+00:00,10
138,Dedza District Hospital,TX_CURR,Male,70-74 years,2025-08-26 01:24:06.373989+00:00,28
138,Dedza District Hospital,TX_CURR,Female,20-24 years,2025-08-26 01:24:06.373989+00:00,205
138,Dedza District Hospital,TX_CURR,Female,85-89 years,2025-08-26 01:24:06.373989+00:00,2
138,Dedza District Hospital,TX_CURR,Male,45-49 years,2025-08-26 01:24:06.373989+00:00,327
138,Dedza District Hospital,TX_CURR,Male,30-34 years,2025-08-26 01:24:06.373989+00:00,186
138,Dedza District Hospital,TX_CURR,Male,65-69 years,2025-08-26 01:24:06.373989+00:00,52
138,Dedza District Hospital,TX_CURR,Female,70-74 years,2025-08-26 01:24:06.373989+00:00,30
138,Dedza District Hospital,TX_CURR,Female,<1 years,2025-08-26 01:24:06.373989+00:00,2
138,Dedza District Hospital,TX_CURR,Female,35-39 years,2025-08-26 01:24:06.373989+00:00,494
138,Dedza District Hospital,TX_CURR,Male,80-84 years,2025-08-26 01:24:06.373989+00:00,3
site_id,facility,indicator,sex,age_group,Date_Submitted,tx_curr
16,Bangwe Health Centre,TX_CURR,Female,60-64 years,2025-08-26 01:24:06.367912+00:00,89
16,Bangwe Health Centre,TX_CURR,Male,15-19 years,2025-08-26 01:24:06.367912+00:00,94
16,Bangwe Health Centre,TX_CURR,Male,35-39 years,2025-08-26 01:24:06.367912+00:00,294
16,Bangwe Health Centre,TX_CURR,Unknown,65-69 years,2025-08-26 01:24:06.367912+00:00,1
16,Bangwe Health Centre,TX_CURR,Female,45-49 years,2025-08-26 01:24:06.367912+00:00,515
16,Bangwe Health Centre,TX_CURR,Female,10-14 years,2025-08-26 01:24:06.367912+00:00,70
16,Bangwe Health Centre,TX_CURR,Male,80-84 years,2025-08-26 01:24:06.367912+00:00,3
16,Bangwe Health Centre,TX_CURR,Male,1-4 years,2025-08-26 01:24:06.367912+00:00,12
16,Bangwe Health Centre,TX_CURR,Male,65-69 years,2025-08-26 01:24:06.367912+00:00,54
16,Bangwe Health Centre,TX_CURR,Female,55-59 years,2025-08-26 01:24:06.367912+00:00,148
16,Bangwe Health Centre,TX_CURR,Female,5-9 years,2025-08-26 01:24:06.367912+00:00,31
16,Bangwe Health Centre,TX_CURR,Male,5-9 years,2025-08-26 01:24:06.367912+00:00,37
16,Bangwe Health Centre,TX_CURR,Unknown,40-44 years,2025-08-26 01:24:06.367912+00:00,1
16,Bangwe Health Centre,TX_CURR,Male,55-59 years,2025-08-26 01:24:06.367912+00:00,169
16,Bangwe Health Centre,TX_CURR,Unknown,All,2025-08-26 01:24:06.367912+00:00,2
16,Bangwe Health Centre,TX_CURR,Female,40-44 years,2025-08-26 01:24:06.367912+00:00,724
16,Bangwe Health Centre,TX_CURR,Female,1-4 years,2025-08-26 01:24:06.367912+00:00,11
16,Bangwe Health Centre,TX_CURR,Male,70-74 years,2025-08-26 01:24:06.367912+00:00,39
16,Bangwe Health Centre,TX_CURR,FNP,All,2025-08-26 01:24:06.367912+00:00,3599
16,Bangwe Health Centre,TX_CURR,Male,25-29 years,2025-08-26 01:24:06.367912+00:00,107
16,Bangwe Health Centre,TX_CURR,Female,80-84 years,2025-08-26 01:24:06.367912+00:00,4
16,Bangwe Health Centre,TX_CURR,Female,75-79 years,2025-08-26 01:24:06.367912+00:00,12
16,Bangwe Health Centre,TX_CURR,Female,35-39 years,2025-08-26 01:24:06.367912+00:00,668
16,Bangwe Health Centre,TX_CURR,Male,50-54 years,2025-08-26 01:24:06.367912+00:00,272
16,Bangwe Health Centre,TX_CURR,FBF,All,2025-08-26 01:24:06.367912+00:00,244
16,Bangwe Health Centre,TX_CURR,FP,All,2025-08-26 01:24:06.367912+00:00,190
16,Bangwe Health Centre,TX_CURR,Male,75-79 years,2025-08-26 01:24:06.367912+00:00,16
16,Bangwe Health Centre,TX_CURR,Female,25-29 years,2025-08-26 01:24:06.367912+00:00,491
16,Bangwe Health Centre,TX_CURR,Female,15-19 years,2025-08-26 01:24:06.367912+00:00,115
16,Bangwe Health Centre,TX_CURR,Male,30-34 years,2025-08-26 01:24:06.367912+00:00,183
16,Bangwe Health Centre,TX_CURR,Female,65-69 years,2025-08-26 01:24:06.367912+00:00,36
16,Bangwe Health Centre,TX_CURR,Male,10-14 years,2025-08-26 01:24:06.367912+00:00,51
16,Bangwe Health Centre,TX_CURR,Male,90 plus years,2025-08-26 01:24:06.367912+00:00,1
16,Bangwe Health Centre,TX_CURR,Male,20-24 years,2025-08-26 01:24:06.367912+00:00,95
16,Bangwe Health Centre,TX_CURR,Female,70-74 years,2025-08-26 01:24:06.367912+00:00,22
16,Bangwe Health Centre,TX_CURR,Male,60-64 years,2025-08-26 01:24:06.367912+00:00,89
16,Bangwe Health Centre,TX_CURR,Female,50-54 years,2025-08-26 01:24:06.367912+00:00,299
16,Bangwe Health Centre,TX_CURR,Female,20-24 years,2025-08-26 01:24:06.367912+00:00,253
16,Bangwe Health Centre,TX_CURR,Male,<1 years,2025-08-26 01:24:06.367912+00:00,3
16,Bangwe Health Centre,TX_CURR,Male,45-49 years,2025-08-26 01:24:06.367912+00:00,430
16,Bangwe Health Centre,TX_CURR,Female,30-34 years,2025-08-26 01:24:06.367912+00:00,545
16,Bangwe Health Centre,TX_CURR,Male,40-44 years,2025-08-26 01:24:06.367912+00:00,421
16,Bangwe Health Centre,TX_CURR,Male,All,2025-08-26 01:24:06.367912+00:00,2370
site_id,facility,indicator,sex,age_group,Date_Submitted,tx_curr
193,Jalasi Health Centre,TX_CURR,FP,All,2025-08-26 01:24:06.415016+00:00,33
193,Jalasi Health Centre,TX_CURR,Female,35-39 years,2025-08-26 01:24:06.415016+00:00,186
193,Jalasi Health Centre,TX_CURR,Female,<1 years,2025-08-26 01:24:06.415016+00:00,1
193,Jalasi Health Centre,TX_CURR,Female,80-84 years,2025-08-26 01:24:06.415016+00:00,1
193,Jalasi Health Centre,TX_CURR,Female,1-4 years,2025-08-26 01:24:06.415016+00:00,1
193,Jalasi Health Centre,TX_CURR,Male,60-64 years,2025-08-26 01:24:06.415016+00:00,31
193,Jalasi Health Centre,TX_CURR,Male,55-59 years,2025-08-26 01:24:06.415016+00:00,26
193,Jalasi Health Centre,TX_CURR,Female,65-69 years,2025-08-26 01:24:06.415016+00:00,20
193,Jalasi Health Centre,TX_CURR,FBF,All,2025-08-26 01:24:06.415016+00:00,37
193,Jalasi Health Centre,TX_CURR,Female,70-74 years,2025-08-26 01:24:06.415016+00:00,8
193,Jalasi Health Centre,TX_CURR,Male,All,2025-08-26 01:24:06.415016+00:00,384
193,Jalasi Health Centre,TX_CURR,Female,75-79 years,2025-08-26 01:24:06.415016+00:00,9
193,Jalasi Health Centre,TX_CURR,Male,5-9 years,2025-08-26 01:24:06.415016+00:00,13
193,Jalasi Health Centre,TX_CURR,Male,65-69 years,2025-08-26 01:24:06.415016+00:00,15
193,Jalasi Health Centre,TX_CURR,Male,15-19 years,2025-08-26 01:24:06.415016+00:00,21
193,Jalasi Health Centre,TX_CURR,Male,40-44 years,2025-08-26 01:24:06.415016+00:00,51
193,Jalasi Health Centre,TX_CURR,Female,60-64 years,2025-08-26 01:24:06.415016+00:00,45
193,Jalasi Health Centre,TX_CURR,Female,40-44 years,2025-08-26 01:24:06.415016+00:00,219
193,Jalasi Health Centre,TX_CURR,Male,10-14 years,2025-08-26 01:24:06.415016+00:00,25
193,Jalasi Health Centre,TX_CURR,FNP,All,2025-08-26 01:24:06.415016+00:00,1068
193,Jalasi Health Centre,TX_CURR,Male,25-29 years,2025-08-26 01:24:06.415016+00:00,7
193,Jalasi Health Centre,TX_CURR,Female,30-34 years,2025-08-26 01:24:06.415016+00:00,156
193,Jalasi Health Centre,TX_CURR,Female,25-29 years,2025-08-26 01:24:06.415016+00:00,99
193,Jalasi Health Centre,TX_CURR,Female,15-19 years,2025-08-26 01:24:06.415016+00:00,27
193,Jalasi Health Centre,TX_CURR,Female,20-24 years,2025-08-26 01:24:06.415016+00:00,40
193,Jalasi Health Centre,TX_CURR,Male,75-79 years,2025-08-26 01:24:06.415016+00:00,4
193,Jalasi Health Centre,TX_CURR,Female,5-9 years,2025-08-26 01:24:06.415016+00:00,21
193,Jalasi Health Centre,TX_CURR,Female,50-54 years,2025-08-26 01:24:06.415016+00:00,101
193,Jalasi Health Centre,TX_CURR,Female,45-49 years,2025-08-26 01:24:06.415016+00:00,128
193,Jalasi Health Centre,TX_CURR,Unknown,All,2025-08-26 01:24:06.415016+00:00,1
193,Jalasi Health Centre,TX_CURR,Male,1-4 years,2025-08-26 01:24:06.415016+00:00,6
193,Jalasi Health Centre,TX_CURR,Male,30-34 years,2025-08-26 01:24:06.415016+00:00,17
193,Jalasi Health Centre,TX_CURR,Female,10-14 years,2025-08-26 01:24:06.415016+00:00,25
193,Jalasi Health Centre,TX_CURR,Male,45-49 years,2025-08-26 01:24:06.415016+00:00,62
193,Jalasi Health Centre,TX_CURR,Male,35-39 years,2025-08-26 01:24:06.415016+00:00,32
193,Jalasi Health Centre,TX_CURR,Male,70-74 years,2025-08-26 01:24:06.415016+00:00,10
193,Jalasi Health Centre,TX_CURR,Female,55-59 years,2025-08-26 01:24:06.415016+00:00,50
193,Jalasi Health Centre,TX_CURR,Male,50-54 years,2025-08-26 01:24:06.415016+00:00,57
193,Jalasi Health Centre,TX_CURR,Male,20-24 years,2025-08-26 01:24:06.415016+00:00,7
193,Jalasi Health Centre,TX_CURR,Female,85-89 years,2025-08-26 01:24:06.415016+00:00,2
site_id,facility,indicator,sex,age_group,Date_Submitted,tx_curr
194,Jenda Health Centre,TX_CURR,Male,50-54 years,2025-08-26 01:24:06.431729+00:00,84
194,Jenda Health Centre,TX_CURR,Male,5-9 years,2025-08-26 01:24:06.431729+00:00,8
194,Jenda Health Centre,TX_CURR,Male,90 plus years,2025-08-26 01:24:06.431729+00:00,1
194,Jenda Health Centre,TX_CURR,Female,40-44 years,2025-08-26 01:24:06.431729+00:00,155
194,Jenda Health Centre,TX_CURR,Male,85-89 years,2025-08-26 01:24:06.431729+00:00,1
194,Jenda Health Centre,TX_CURR,Female,80-84 years,2025-08-26 01:24:06.431729+00:00,1
194,Jenda Health Centre,TX_CURR,Female,60-64 years,2025-08-26 01:24:06.431729+00:00,39
194,Jenda Health Centre,TX_CURR,Female,35-39 years,2025-08-26 01:24:06.431729+00:00,164
194,Jenda Health Centre,TX_CURR,Female,30-34 years,2025-08-26 01:24:06.431729+00:00,179
194,Jenda Health Centre,TX_CURR,FP,All,2025-08-26 01:24:06.431729+00:00,32
194,Jenda Health Centre,TX_CURR,Male,25-29 years,2025-08-26 01:24:06.431729+00:00,27
194,Jenda Health Centre,TX_CURR,Male,1-4 years,2025-08-26 01:24:06.431729+00:00,4
